Source	Target	NO_Weight
1	903	0.05012947693126782
1	909	0.04693769379565476
1	913	0.04580065691754633
1	921	0.042973715628373155
2	502	0.0
2	681	0.07306797083474172
2	872	0.047933066162798424
2	894	0.026256499744739703
3	282	0.0
3	340	0.20231792206902077
3	934	0.00791217974456607
3	954	0.0
4	151	0.19625943925376405
4	631	0.07293117631786072
4	915	0.04193649336617159
4	983	0.009894856197288032
5	516	0.0
5	780	0.0
5	848	0.07120191534401846
5	992	0.004881217731314548
6	765	0.15563669569811459
6	859	0.08771387691829152
6	907	0.044981772686781094
6	991	0.009313384166381455
7	858	0.0821285651260022
7	888	0.06375610350239651
7	962	0.022901057346311284
7	980	0.01831002601965676
8	529	0.0
8	606	0.24330404797251368
8	889	0.039880738255720645
8	932	0.026485246300526323
800	100	0.0
800	306	0.17334324719898456
800	521	0.1411218037861843
800	542	0.3453175109420624
800	551	0.12855170013121675
800	591	0.25319662072024535
800	598	0.32481902405144125
800	618	0.30371723454761873
800	816	0.4454349816214119
800	872	0.3390588049912867
800	893	0.13524476431972302
800	894	0.24197042384347317
800	949	0.1559060247772926
800	986	0.16284969886705436
9	774	0.0
9	906	0.035587614747586455
9	929	0.0
9	990	0.005064589997791847
801	105	0.0
801	279	0.0
801	371	0.1192392181475836
801	393	0.2006181912880008
801	484	0.20488746570647537
801	740	0.0
801	781	0.17483638254444003
801	823	0.30183323966694503
801	869	0.19399285077268197
801	878	0.1865235460450605
801	912	0.08481121072256294
801	938	0.21401182973895402
801	951	0.11884364570010082
801	993	0.10480363263047367
802	13	8.484899855981735E-4
802	362	0.04803481577444332
802	515	0.21258899251717633
802	609	0.08347653829903577
802	652	0.09085191268331438
802	753	5.718310828776842E-4
802	837	0.24274035729761054
802	854	0.19376134973765372
802	863	0.10494327686503321
802	871	0.10857369144015103
802	922	0.10625894775749337
802	936	0.09947498694992303
802	973	0.08120185935076743
802	974	0.0729255238839991
802	998	0.07910738784466927
803	406	0.0
803	469	0.061892119093520784
803	538	0.0
803	630	0.12269737423782061
803	660	0.020938127837956205
803	705	0.0
803	722	0.12373384034101058
803	814	0.09068669674143712
803	874	0.03860753173034124
803	877	0.1289067276135577
803	884	0.048892000513016814
803	890	0.07719730003164638
803	908	0.08759050649933509
803	959	0.0
803	981	0.07710508709012881
804	197	0.0
804	418	0.0640650947198924
804	584	0.2994846250704966
804	665	0.35038499738643575
804	845	0.32209483905538255
804	886	0.23336151975798683
804	935	0.13411585935496842
804	944	0.19679230782216928
804	967	0.1766583630199521
804	970	0.15299093521618576
804	972	0.18581061647011465
804	979	0.17389127641495136
804	985	0.09071282752413992
804	995	0.10477461059792946
804	1000	0.09769952771409492
805	165	0.0
805	196	0.04591405025099676
805	206	0.049909255694682866
805	387	0.07284282960940554
805	511	0.08062168705204277
805	596	0.0
805	628	0.08373051921201066
805	672	0.04865452056800505
805	722	0.14311253082694866
805	844	0.0656611879015199
805	880	0.0
805	882	0.04877236162969094
805	908	0.048822338138655476
805	940	0.05224224804857404
805	981	0.11596604496444225
806	225	0.0976741923006932
806	245	0.1406002890589667
806	380	0.17400367109561457
806	396	0.2113555510461009
806	426	0.16714940351234162
806	495	0.09438939660518791
806	573	0.33706853333556747
806	729	0.3240732048198718
806	741	0.3425380357291688
806	836	0.49544614693747013
806	853	0.34027273726072754
806	868	0.4190700766128048
806	945	0.2634686289670614
806	955	0.20662044518338518
806	988	0.13171235416325197
807	114	0.12375998142612818
807	413	0.2238489642960834
807	710	0.4269074428078449
807	772	0.0
807	818	0.5767222709762776
807	835	0.6368703379402962
807	879	0.4953247772610485
807	920	0.30653791667618197
807	931	0.35888232814048093
807	954	0.2694644269834798
807	965	0.19724359987072757
807	976	0.2131101703598031
807	977	0.20759271635842214
807	987	0.1801031448206995
807	996	0.13451247154319015
808	50	0.10540908929585463
808	188	0.06915885361293672
808	231	0.11898102741460688
808	330	0.10313605075666915
808	408	0.0
808	471	0.20268951087372908
808	640	0.3135995700904332
808	708	0.15646433335227689
808	746	0.379952909466841
808	762	0.4172119892163047
808	784	0.4334436215886146
808	809	0.49682841482353307
808	895	0.4139427353479915
808	930	0.3195345778033567
808	945	0.0
809	90	0.10254791190019631
809	250	0.12630220338548453
809	298	0.0
809	330	0.11789614101267548
809	381	0.0799800307731138
809	476	0.11761998162291223
809	529	0.18343009627231951
809	555	0.0
809	640	0.2825714165735175
809	746	0.3944966455738501
809	762	0.379780425257019
809	784	0.4548101140647972
809	808	0.49682841482353307
809	895	0.38102450675919813
809	930	0.317099738179615
1000	27	0.011688467620113477
1000	157	0.0
1000	186	0.007446210215135545
1000	192	0.012673536259692166
1000	195	0.0
1000	230	0.0
1000	233	0.012957803765258095
1000	240	0.009987719609649448
1000	246	0.014757515650917426
1000	263	0.01652723218219398
1000	270	0.015796910140369498
1000	284	0.014088644063572898
1000	323	0.0
1000	324	0.0015482430454634903
1000	334	0.016512814547423378
1000	365	0.014419416477191796
1000	395	0.018961415047537344
1000	474	0.02541753822450522
1000	491	0.010159075769272878
1000	497	0.007346802622765889
1000	552	0.02385462264425061
1000	574	0.026706097360699853
1000	583	0.010565996006870257
1000	584	0.03565509455850032
1000	586	0.023299851490911246
1000	610	0.0
1000	666	0.049194865249617234
1000	683	0.031963024580750975
1000	695	0.02822081568331119
1000	708	0.0311797476087842
1000	709	0.052472786716486204
1000	728	0.037205148736285956
1000	756	0.054309026624304195
1000	804	0.09769952771409492
1000	820	0.07016503806235679
1000	822	0.045983941937341254
1000	830	0.0633371050862417
1000	845	0.0957614292875238
1000	886	0.09315841993342161
1000	891	0.11240174097378655
1000	904	0.0
1000	939	0.06976303017395373
1000	944	0.11864494905641948
1000	946	0.0
1000	967	0.20681001536635205
1000	970	0.29531844525055756
1000	972	0.26115832170433406
1000	979	0.1240211127657727
1000	995	0.3398250553692913
810	212	0.07193003351685247
810	358	0.0
810	386	0.07405173698216859
810	405	0.0
810	467	0.06593950931725076
810	652	0.0
810	831	0.056624636511153924
810	851	0.08352825267081603
810	871	0.1511755421879477
810	912	0.1167990658056669
810	927	0.1732868163647602
810	936	0.08333789952210564
810	947	0.06208378843413618
810	957	0.10832235630435816
810	974	0.03860348096077472
811	95	0.05741786806811311
811	391	0.10331611834982977
811	395	0.05815587251724849
811	574	0.08310197528664823
811	668	0.17858956749284588
811	692	0.0
811	696	0.25293171368397227
811	718	0.21667297984871092
811	830	0.1344124821217499
811	902	0.21166192738635434
811	935	0.13242354399278458
811	939	0.12938675785928286
811	944	0.16918621151373095
811	956	0.16326861882709656
