1	903	1.75264
1	909	1.72798
1	913	1.91036
1	921	1.82121
2	502	1.85203
2	681	0.994033
2	872	2.69477
2	894	3.52985
3	282	1.11115
3	340	1.04754
3	934	5.00691
3	954	3.71716
4	151	0.00347563
4	631	0.103283
4	915	2.36411
4	983	4.74097
5	516	0.0015696
5	780	0.410915
5	848	1.40046
5	992	5.36762
6	765	0.112756
6	859	0.143405
6	907	2.23289
6	991	4.93594
7	858	0.453826
7	888	0.683706
7	962	2.92556
7	980	3.15697
8	529	1.85203
8	606	0.292273
8	889	3.18654
8	932	3.77462
9	774	0.508848
9	906	1.32184
9	929	1.9212
9	990	3.96164
10	491	1.85203
10	965	1.90594
10	976	1.79858
10	996	3.55678
11	584	2.26274
11	839	0.662281
11	997	3.33453
11	999	3.25303
12	768	0.517673
12	903	0.866836
12	907	1.72688
12	991	4.42993
13	753	0.0545557
13	802	0.961129
13	950	3.43852
13	953	3.72255
14	525	0.491648
14	989	3.09037
14	992	3.61646
14	995	1.46858
15	344	0.172152
15	689	0.184616
15	917	3.0573
15	958	3.78634
16	465	1.86449
16	622	1.78062
16	734	3.55555
16	862	1.35642
17	213	1.11803
17	328	0.710892
17	615	2.57948
17	828	3.92767
18	844	1.57274
18	850	1.12751
18	874	1.94138
18	908	2.55881
19	73	1.01187
19	376	0.204439
19	833	2.34245
19	914	3.60958
20	512	1.85203
20	516	0.323055
20	812	1.81184
20	982	4.96708
21	498	1.85203
21	671	0.710623
21	870	1.54494
21	994	4.94496
22	346	0.000369278
22	959	1.794
22	971	2.04701
22	994	3.36287
23	164	0.123536
23	883	2.02201
23	889	2.33176
23	932	2.91984
24	37	0.758467
24	947	0.956913
24	965	2.80267
24	977	2.72144
25	70	1.81646
25	740	1.12096
25	980	4.25901
25	998	4.25712
26	849	0.0752815
26	944	1.6788
26	970	3.30994
26	972	2.1563
27	891	0.0682495
27	972	0.761609
27	995	3.1415
27	1000	3.23268
28	103	2.37345
28	125	0.0489489
28	724	0.0173068
28	982	4.76492
29	889	2.08954
29	932	2.67762
29	934	2.50312
29	959	3.85738
30	793	0.761854
30	826	0.839366
30	909	2.75786
30	921	2.85109
31	38	0.540706
31	527	0.424474
31	917	2.75548
31	958	3.48452
32	585	2.26274
32	690	0.51149
32	892	1.53286
32	994	5.15919
33	812	0.64607
33	848	0.0792988
33	969	2.94137
33	992	3.84646
34	121	1.23721
34	451	2.36606
34	478	1.76746
34	528	1.81811
35	653	3.16228
35	748	2.38691
35	901	1.66461
35	942	3.15066
36	768	0.422698
36	793	0.908796
36	911	2.86675
36	921	2.99803
37	24	0.758467
37	443	2.69657
37	828	3.76305
37	922	3.59276
38	31	0.540706
38	327	0.368952
38	958	6.29182
38	971	0.708934
39	739	0.0857237
39	888	0.807159
39	962	3.04902
39	980	3.28042
40	248	1.0869
40	606	2.7
